StartPointID,EndPointID,Weight
15,10,50
10,15,50
2,20,7
20,2,7
20,272,9
272,20,9
272,4,56
4,272,56
4,25,15
25,4,15
25,3,2
3,25,2
119,120,76
120,119,76
147,120,55
120,147,55
136,147,28
147,136,28
147,145,7
145,147,7
145,123,66
123,145,66
146,145,4
145,146,4
146,122,66
122,146,66
155,122,66
122,155,66
124,156,21
156,124,21
156,126,16
126,156,16
126,155,38
155,126,38
159,126,28
126,159,28
126,125,29
125,126,29
146,148,5
148,146,5
148,121,52
121,148,52
148,157,8
157,148,8
175,157,1
157,175,1
175,128,117
128,175,117
128,149,5
149,128,5
129,149,56
149,129,56
129,150,8
150,129,8
150,151,45
151,150,45
151,152,25
152,151,25
152,131,1
131,152,1
151,130,0
130,151,0
152,153,253
153,152,253
153,132,352
132,153,352
132,154,326
154,132,326
154,142,130
142,154,130
142,140,67
140,142,67
133,160,11
160,133,11
160,161,152
161,160,152
137,161,173
161,137,173
137,162,151
162,137,151
162,144,138
144,162,138
144,138,9
138,144,9
144,168,42
168,144,42
168,154,1
154,168,1
168,169,57
169,168,57
169,166,66
166,169,66
167,166,0
166,167,0
167,142,4
142,167,4
169,139,8
139,169,8
139,166,57
166,139,57
139,165,16
165,139,16
165,141,100
141,165,100
165,164,21
164,165,21
164,163,107
163,164,107
163,144,2
144,163,2
143,162,2
162,143,2
134,161,7
161,134,7
134,170,108
170,134,108
170,171,83
171,170,83
137,171,11
171,172,193
172,171,193
172,173,28
173,172,28
173,163,53
163,173,53
172,135,1
135,172,1
173,174,1
174,173,1
174,117,55
117,174,55
116,135,356
135,116,356
116,159,152
159,116,152
159,158,67
158,159,67
158,127,49
127,158,49
127,134,140
134,127,140
134,176,104
176,134,104
176,158,84
158,176,84
158,157,128
157,158,128
175,176,214
176,175,214
141,2,0
2,141,0
171,137,11
259,83,4
83,259,4
83,84,255
84,83,255
84,102,5
102,84,5
102,85,128
85,102,128
102,103,65
103,102,65
103,82,14
82,103,14
103,101,1
101,103,1
86,87,38
87,86,38
87,89,2
89,87,2
89,104,107
104,89,107
89,88,134
88,89,134
104,90,387
90,104,387
90,91,114
91,90,114
90,105,5
105,90,5
105,100,91
100,105,91
100,115,2
115,100,2
111,115,86
115,111,86
115,114,189
114,115,189
114,113,124
113,114,124
113,112,63
112,113,63
112,94,1
94,112,1
103,112,107
112,103,107
113,95,1
95,113,1
114,96,0
96,114,0
111,97,1
97,111,1
111,110,132
110,111,132
110,108,39
108,110,39
108,109,66
109,108,66
109,79,53
79,109,53
108,107,2
107,108,2
107,106,5
106,107,5
106,92,0
92,106,0
106,93,90
93,106,90
107,80,87
80,107,87
109,99,2
99,109,2
110,98,4
98,110,4
79,3,0
3,79,0
54,69,14
69,54,14
69,68,11
68,69,11
68,73,1
73,68,1
73,74,1
74,73,1
75,74,2
75,49,152
49,75,152
74,50,60
50,74,60
68,51,90
51,68,90
51,67,18
67,51,18
67,53,21
53,67,21
67,52,77
52,67,77
59,73,65
73,59,65
73,60,66
60,73,66
60,61,0
61,60,0
60,72,70
72,60,70
72,62,2
62,72,2
56,69,79
69,56,79
56,57,67
57,56,67
57,58,1
58,57,1
58,70,22
70,58,22
70,71,2
71,70,2
71,63,35
63,71,35
75,77,29
77,75,29
77,76,25
76,77,25
76,64,5
64,76,5
64,74,52
74,64,52
177,77,121
77,177,121
177,269,57
269,177,57
269,78,182
78,269,182
78,46,48
46,78,48
78,186,196
186,78,196
76,65,121
65,76,121
186,187,277
187,186,277
187,179,4
179,187,4
78,185,63
185,78,63
185,178,1
178,185,1
179,188,207
188,179,207
188,180,107
180,188,107
180,189,1
189,180,1
189,183,19
183,189,19
183,190,142
190,183,142
190,187,158
187,190,158
190,181,1
181,190,1
184,188,0
188,184,0
74,75,2
77,78,118
78,77,118
54,136,0
136,54,0
65,127,0
127,65,0
117,181,0
181,117,0
214,118,26
214,215,1
215,214,1
215,220,5
220,215,5
220,222,1
222,220,1
222,200,67
200,222,67
192,221,2
221,192,2
221,191,38
191,221,38
