StartPointID,EndPointID,Weight
15,11,65
11,15,65
10,15,50
15,10,50
15,16,50
16,17,9
17,18,16
18,19,4
19,12,36
12,19,36
2,20,7
20,4,66
4,20,66
20,21,12
21,22,79
22,23,7
23,12,97
12,23,97
4,24,9
24,5,52
5,24,52
4,25,15
25,3,2
3,25,2
25,7,43
7,25,43
24,26,38
26,5,14
5,26,14
26,7,11
7,26,11
26,27,38
27,6,31
6,27,31
27,28,14
28,29,9
29,8,32
8,29,32
25,29,74
29,25,74
14,30,4
30,31,128
31,32,5
32,33,115
33,34,448
34,35,14
35,36,42
9,36,5
13,37,22
37,38,14
38,39,182
39,4,42
4,39,42
29,40,12
40,41,21
41,42,15
42,43,22
43,36,18
36,43,18
12,44,74
44,45,29
45,38,83
38,45,83
16,15,50
17,16,9
18,17,16
19,18,4
20,2,7
21,20,12
22,21,79
23,22,7
24,4,9
25,4,15
26,24,38
27,26,38
28,27,14
29,28,9
30,14,4
31,30,128
32,31,5
33,32,115
34,33,448
35,34,14
36,35,42
37,13,22
38,37,14
39,38,182
40,29,12
41,40,21
42,41,15
43,42,22
44,12,74
45,44,29
52,67,77
67,51,18
51,67,18
53,67,21
67,53,21
51,68,90
68,69,11
69,54,14
54,69,14
69,56,79
56,69,79
56,57,67
57,56,67
57,58,1
58,57,1
58,70,22
70,71,2
71,63,35
63,71,35
71,60,72
60,71,72
60,61,0
61,60,0
60,72,70
72,62,2
62,72,2
59,73,65
73,60,66
60,73,66
73,74,1
74,50,60
50,74,60
74,64,52
64,74,52
73,68,1
68,73,1
49,75,152
75,74,2
74,75,2
64,76,5
76,65,121
65,76,121
48,77,118
48,47,45
47,48,45
46,78,48
78,47,192
47,78,192
78,65,28
65,78,28
77,75,29
75,77,29
77,78,118
78,77,118
77,76,25
76,77,25
46,2,0
2,46,0
48,2,0
2,48,0
67,52,77
68,51,90
69,68,11
70,58,22
71,70,2
72,60,70
73,59,65
74,73,1
75,49,152
76,64,5
77,48,118
78,46,48
83,84,255
84,83,255
85,102,128
102,84,5
84,102,5
102,103,65
103,82,14
82,103,14
103,101,1
101,103,1
86,87,38
87,86,38
88,89,134
89,88,134
87,89,2
89,87,2
89,104,107
104,101,4
101,104,4
104,90,387
90,104,387
90,91,114
91,90,114
90,105,5
105,100,91
100,105,91
92,106,0
106,93,90
93,106,90
106,107,5
107,80,87
80,107,87
107,108,2
108,109,66
109,99,2
99,109,2
109,79,53
79,109,53
98,110,4
110,111,132
111,97,1
97,111,1
110,108,39
108,110,39
94,112,1
112,103,107
103,112,107
112,113,63
113,95,1
95,113,1
96,114,0
114,111,275
111,114,275
100,115,2
113,114,124
114,113,124
102,85,128
103,102,65
104,89,107
105,90,5
106,92,0
107,106,5
108,107,2
109,108,66
110,98,4
111,110,132
112,94,1
113,112,63
114,96,0
115,100,2
