StartPointID,EndPointID,Weight
2,8,23
3,7,34
4,6,45
5,5,56
6,4,67
7,3,78
8,2,89
9,1,90
16,99,66
14374,20074,80
20074,14374,80
22026,20074,28
20074,22026,28
20074,25063,70
25063,20074,70
28376,25063,46
25063,28376,46
14374,22026,108
22026,14374,108
4300,5000,9
5000,4300,9
2049,4300,31
4300,2049,31
7264,5460,25
5460,7264,25
7264,8442,16
8442,7264,16
16441,8442,113
8442,16441,113
8587,7264,18
7264,8587,18
8587,7716,12
7716,8587,12
9011,7716,18
7716,9011,18
9011,14902,83
14902,9011,83
9011,14518,77
14518,9011,77
14902,14518,5
14518,14902,5
16927,26359,132
26359,16927,132
14518,13925,8
13925,14518,8
12697,4295,118
4295,12697,118
12697,22026,131
22026,12697,131
33506,26211,103
26211,33506,103
33506,34498,14
34498,33506,14
33506,39012,77
39012,33506,77
40213,39012,16
39012,40213,16
39466,38059,19
38059,39466,19
39466,28376,156
28376,39466,156
13917,37917,339
37917,13917,339
38059,37917,2
37917,38059,2
34498,26359,114
26359,34498,114
16927,12697,60
12697,16927,60
8140,7716,5
7716,8140,5
8140,5537,36
5537,8140,36
8140,8172,0
8172,8140,0
4295,8172,55
8172,4295,55
12697,8172,63
8172,12697,63
4240,4295,1
4295,4240,1
4240,2049,31
2049,4240,31
10000,5000,70
5000,10000,70
10000,13917,55
13917,10000,55
8437,13747,74
13747,8437,74
8437,5994,33
5994,8437,33
9717,7613,29
7613,9717,29
9717,8146,22
8146,9717,22
9717,9578,1
9578,9717,1
9578,8080,21
8080,9578,21
9578,8950,8
8950,9578,8
8234,8950,9
8950,8234,9
8234,9913,24
9913,8234,24
9723,14325,65
14325,9723,65
9723,8234,21
8234,9723,21
14936,14325,8
14325,14936,8
15557,8146,104
8146,15557,104
15557,24571,127
24571,15557,127
15557,5994,135
5994,15557,135
15557,13747,26
13747,15557,26
24571,27390,39
27390,24571,39
32793,24571,115
24571,32793,115
32793,27390,76
27390,32793,76
32793,36776,56
36776,32793,56
40789,36776,56
36776,40789,56
40789,41576,11
41576,40789,11
40789,42689,26
42689,40789,26
41576,42689,15
42689,41576,15
43905,42689,16
42689,43905,16
43905,42545,19
42545,43905,19
33536,42545,127
42545,33536,127
33536,27390,86
27390,33536,86
36698,39320,36
39320,36698,36
40789,39320,21
39320,40789,21
38059,28376,137
28376,38059,137
12697,14374,22
14374,12697,22
25063,26155,15
26155,25063,15
26155,26211,1
26211,26155,1
37917,44922,98
44922,37917,98
